from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
48009,48009,92087787_0,92087787_1,1
19612,19612,92087847_0,92087847_1,1
65524,65524,92087847_1,92087847_2,1
65409,65409,92087848_0,92087848_1,1
65300,65300,92087848_1,92087848_2,1
19612,19612,92087849_0,92087849_1,1
65524,65524,92087849_1,92087849_2,1
19612,19612,92087851_0,92087851_1,1
65524,65524,92087851_1,92087851_2,1
65409,65409,92087852_0,92087852_1,1
65300,65300,92087852_1,92087852_2,1
19612,19612,92087853_0,92087853_1,1
65524,65524,92087853_1,92087853_2,1
19612,19612,91501905_0,91501905_1,1
65524,65524,91501905_1,91501905_2,1
65409,65409,92087855_0,92087855_1,1
65524,65524,92087855_1,92087855_2,1
65409,65409,92087856_0,92087856_1,1
65524,65524,92087856_1,92087856_2,1
65409,65409,91501906_0,91501906_1,1
65524,65524,91501906_1,91501906_2,1
19612,19612,92087860_0,92087860_1,1
65524,65524,92087860_1,92087860_2,1
65409,65409,92087858_0,92087858_1,1
65300,65300,92087858_1,92087858_2,1
19612,19612,92087859_0,92087859_1,1
65524,65524,92087859_1,92087859_2,1
65409,65409,92087862_0,92087862_1,1
65524,65524,92087862_1,92087862_2,1
65409,65409,92087863_0,92087863_1,1
65524,65524,92087863_1,92087863_2,1
65409,65409,92087866_0,92087866_1,1
65524,65524,92087866_1,92087866_2,1
65409,65409,92087868_0,92087868_1,1
65524,65524,92087868_1,92087868_2,1
65409,65409,91501907_0,91501907_1,1
65524,65524,91501907_1,91501907_2,1
65409,65409,92091428_0,92091428_1,1
65524,65524,92091428_1,92091428_2,1
65409,65409,92091429_0,92091429_1,1
65524,65524,92091429_1,92091429_2,1
65409,65409,92091430_0,92091430_1,1
65524,65524,92091430_1,92091430_2,1
65409,65409,92091433_0,92091433_1,1
65524,65524,92091433_1,92091433_2,1
65409,65409,92091434_0,92091434_1,1
65524,65524,92091434_1,92091434_2,1
65409,65409,91502825_0,91502825_1,1
65524,65524,91502825_1,91502825_2,1
65409,65409,92091436_0,92091436_1,1
65524,65524,92091436_1,92091436_2,1
65409,65409,92091437_0,92091437_1,1
65524,65524,92091437_1,92091437_2,1
65409,65409,91502826_0,91502826_1,1
65524,65524,91502826_1,91502826_2,1
73403,73403,92087903_0,92087903_1,1
64626,64626,91501922_0,91501922_1,1
73403,73403,91501922_1,91501922_2,1
73403,73403,92087905_0,92087905_1,1
73403,73403,91501923_0,91501923_1,1
73403,73403,92087907_0,92087907_1,1
73403,73403,91501924_0,91501924_1,1
73403,73403,92087910_0,92087910_1,1
73403,73403,91501925_0,91501925_1,1
80630,80630,92088066_0,92088066_1,1
81604,81604,92088066_1,92088066_2,1
80630,80630,92088072_0,92088072_1,1
81604,81604,92088072_1,92088072_2,1
81604,81604,92088073_0,92088073_1,1
80630,80630,92088073_1,92088073_2,1
81604,81604,92088079_0,92088079_1,1
80630,80630,92088079_1,92088079_2,1
81604,81604,92088083_0,92088083_1,1
80630,80630,92088083_1,92088083_2,1
81604,81604,92088088_0,92088088_1,1
80630,80630,92088088_1,92088088_2,1
81604,81604,92088092_0,92088092_1,1
80630,80630,92088092_1,92088092_2,1
81604,81604,92088098_0,92088098_1,1
81604,81604,92088100_0,92088100_1,1
81604,81604,92088110_0,92088110_1,1
81604,81604,92088115_0,92088115_1,1
81604,81604,92088119_0,92088119_1,1
80630,80630,92088124_0,92088124_1,1
81604,81604,92088124_1,92088124_2,1
81604,81604,92088128_0,92088128_1,1
81604,81604,92088133_0,92088133_1,1
81604,81604,92088138_0,92088138_1,1
81604,81604,92088147_0,92088147_1,1
80630,80630,92088147_1,92088147_2,1
81604,81604,92088150_0,92088150_1,1
80390,80390,92088161_0,92088161_1,1
80333,80333,92088162_0,92088162_1,1
64337,64337,91502045_0,91502045_1,1
65524,65524,92088311_0,92088311_1,1
65409,65409,92088311_1,92088311_2,1
65524,65524,92088313_0,92088313_1,1
65409,65409,92088313_1,92088313_2,1
65524,65524,92088310_0,92088310_1,1
65409,65409,92088310_1,92088310_2,1
65524,65524,92088312_0,92088312_1,1
65409,65409,92088312_1,92088312_2,1
65524,65524,92088316_0,92088316_1,1
65300,65300,92088316_1,92088316_2,1
65300,65300,92088317_0,92088317_1,1
65409,65409,92088317_1,92088317_2,1
65524,65524,92088318_0,92088318_1,1
65300,65300,92088318_1,92088318_2,1
65524,65524,92088320_0,92088320_1,1
65409,65409,92088320_1,92088320_2,1
65524,65524,92088321_0,92088321_1,1
65300,65300,92088321_1,92088321_2,1
65300,65300,92088322_0,92088322_1,1
65409,65409,92088322_1,92088322_2,1
65524,65524,91502046_0,91502046_1,1
65300,65300,91502046_1,91502046_2,1
65524,65524,92088324_0,92088324_1,1
65409,65409,92088324_1,92088324_2,1
65524,65524,92088326_0,92088326_1,1
65409,65409,92088326_1,92088326_2,1
65524,65524,91502047_0,91502047_1,1
65409,65409,91502047_1,91502047_2,1
65524,65524,92088327_0,92088327_1,1
65409,65409,92088327_1,92088327_2,1
65524,65524,92088328_0,92088328_1,1
65409,65409,92088328_1,92088328_2,1
65524,65524,92088353_0,92088353_1,1
65409,65409,92088353_1,92088353_2,1
65524,65524,92088354_0,92088354_1,1
65409,65409,92088354_1,92088354_2,1
65524,65524,91502053_0,91502053_1,1
65409,65409,91502053_1,91502053_2,1
65524,65524,91502054_0,91502054_1,1
65409,65409,91502054_1,91502054_2,1
65524,65524,92088356_0,92088356_1,1
65409,65409,92088356_1,92088356_2,1
65524,65524,92088357_0,92088357_1,1
65409,65409,92088357_1,92088357_2,1
80630,80630,92088396_0,92088396_1,1
81604,81604,92088396_1,92088396_2,1
80630,80630,92088401_0,92088401_1,1
81604,81604,92088401_1,92088401_2,1
80630,80630,92088406_0,92088406_1,1
81604,81604,92088406_1,92088406_2,1
81604,81604,92088408_0,92088408_1,1
80630,80630,92088408_1,92088408_2,1
81604,81604,92088412_0,92088412_1,1
80630,80630,92088412_1,92088412_2,1
178406,178406,92088560_0,92088560_1,1
178406,178406,92088558_0,92088558_1,1
178406,178406,92088568_0,92088568_1,1
178406,178406,92088567_0,92088567_1,1
64626,64626,92088604_0,92088604_1,1
73478,73478,92088604_1,92088604_2,1
64626,64626,92088602_0,92088602_1,1
73403,73403,92088602_1,92088602_2,1
73403,73403,92088603_0,92088603_1,1
73478,73478,92088605_0,92088605_1,1
73403,73403,91502109_0,91502109_1,1
73478,73478,92088606_0,92088606_1,1
73403,73403,92088607_0,92088607_1,1
73478,73478,92088608_0,92088608_1,1
73403,73403,92088609_0,92088609_1,1
73403,73403,92088610_0,92088610_1,1
73478,73478,92088611_0,92088611_1,1
64626,64626,91502110_0,91502110_1,1
73403,73403,91502110_1,91502110_2,1
73403,73403,92088612_0,92088612_1,1
73478,73478,92088613_0,92088613_1,1
81505,81505,92088693_0,92088693_1,1
81505,81505,92088696_0,92088696_1,1
81505,81505,92088701_0,92088701_1,1
81505,81505,92088711_0,92088711_1,1
81505,81505,92088714_0,92088714_1,1
81505,81505,92088717_0,92088717_1,1
81505,81505,92088723_0,92088723_1,1
81505,81505,92088735_0,92088735_1,1
81505,81505,92088803_0,92088803_1,1
73478,73478,92088938_0,92088938_1,1
73403,73403,92088939_0,92088939_1,1
73403,73403,91502219_0,91502219_1,1
73403,73403,92088940_0,92088940_1,1
73478,73478,92088941_0,92088941_1,1
73403,73403,91502220_0,91502220_1,1
73403,73403,92088942_0,92088942_1,1
73478,73478,92088943_0,92088943_1,1
73403,73403,91502221_0,91502221_1,1
73403,73403,92088944_0,92088944_1,1
73478,73478,92088945_0,92088945_1,1
73403,73403,91502222_0,91502222_1,1
73478,73478,92088946_0,92088946_1,1
73403,73403,92088947_0,92088947_1,1
73403,73403,91502223_0,91502223_1,1
73478,73478,92088972_0,92088972_1,1
73403,73403,92088973_0,92088973_1,1
73478,73478,92088974_0,92088974_1,1
73403,73403,92088975_0,92088975_1,1
73403,73403,91502231_0,91502231_1,1
73403,73403,92088976_0,92088976_1,1
73478,73478,92088977_0,92088977_1,1
73478,73478,92088978_0,92088978_1,1
73403,73403,92088979_0,92088979_1,1
71464,71464,92089121_0,92089121_1,1
61507,61507,92089121_1,92089121_2,1
71464,71464,92089122_0,92089122_1,1
61507,61507,92089125_0,92089125_1,1
5256,5256,91502992_0,91502992_1,1
5256,5256,91502993_0,91502993_1,1
5256,5256,91502995_0,91502995_1,1
5256,5256,91502996_0,91502996_1,1
5256,5256,91502997_0,91502997_1,1
5256,5256,92091941_0,92091941_1,1
5256,5256,92091938_0,92091938_1,1
5256,5256,92091939_0,92091939_1,1
5256,5256,92091940_0,92091940_1,1
5256,5256,91502998_0,91502998_1,1
5256,5256,91502999_0,91502999_1,1
5256,5256,91503000_0,91503000_1,1
5256,5256,91503001_0,91503001_1,1
14704,14704,91503269_0,91503269_1,1
15008,15008,91503269_1,91503269_2,1
5256,5256,91503007_0,91503007_1,1
3905,3905,92089623_0,92089623_1,1
71464,71464,92089721_0,92089721_1,1
61507,61507,92089725_0,92089725_1,1
59543,59543,92090009_0,92090009_1,1
46052,46052,92090009_1,92090009_2,1
59543,59543,92090010_0,92090010_1,1
46052,46052,92090010_1,92090010_2,1
59543,59543,92090011_0,92090011_1,1
46052,46052,92090011_1,92090011_2,1
59543,59543,92090015_0,92090015_1,1
46052,46052,92090015_1,92090015_2,1
59543,59543,92090014_0,92090014_1,1
46052,46052,92090014_1,92090014_2,1
59543,59543,92090016_0,92090016_1,1
46052,46052,92090016_1,92090016_2,1
59543,59543,91502466_0,91502466_1,1
59543,59543,92090017_0,92090017_1,1
46052,46052,92090017_1,92090017_2,1
59543,59543,92090018_0,92090018_1,1
46052,46052,92090018_1,92090018_2,1
59543,59543,92090023_0,92090023_1,1
46052,46052,92090023_1,92090023_2,1
59543,59543,92090020_0,92090020_1,1
46052,46052,92090020_1,92090020_2,1
59543,59543,92090022_0,92090022_1,1
46052,46052,92090022_1,92090022_2,1
59543,59543,91502467_0,91502467_1,1
59543,59543,92090024_0,92090024_1,1
46052,46052,92090024_1,92090024_2,1
59543,59543,92090026_0,92090026_1,1
46052,46052,92090026_1,92090026_2,1
59543,59543,91502468_0,91502468_1,1
59543,59543,92090027_0,92090027_1,1
46052,46052,92090027_1,92090027_2,1
59543,59543,92090029_0,92090029_1,1
46052,46052,92090029_1,92090029_2,1
59543,59543,91502469_0,91502469_1,1
46052,46052,92090197_0,92090197_1,1
59543,59543,92090197_1,92090197_2,1
46052,46052,92090198_0,92090198_1,1
59543,59543,92090198_1,92090198_2,1
59543,59543,91502533_0,91502533_1,1
46052,46052,92090201_0,92090201_1,1
59543,59543,92090201_1,92090201_2,1
46052,46052,92090200_0,92090200_1,1
59543,59543,92090200_1,92090200_2,1
46052,46052,92090203_0,92090203_1,1
59543,59543,92090203_1,92090203_2,1
46052,46052,92090204_0,92090204_1,1
59543,59543,92090204_1,92090204_2,1
46052,46052,92090205_0,92090205_1,1
59543,59543,92090205_1,92090205_2,1
59543,59543,91502534_0,91502534_1,1
46052,46052,92090207_0,92090207_1,1
59543,59543,92090207_1,92090207_2,1
46052,46052,92090208_0,92090208_1,1
59543,59543,92090208_1,92090208_2,1
46052,46052,92090211_0,92090211_1,1
59543,59543,92090211_1,92090211_2,1
46052,46052,92090212_0,92090212_1,1
59543,59543,92090212_1,92090212_2,1
59543,59543,91502535_0,91502535_1,1
46052,46052,92090214_0,92090214_1,1
59543,59543,92090214_1,92090214_2,1
46052,46052,92090215_0,92090215_1,1
59543,59543,92090215_1,92090215_2,1
59543,59543,91502536_0,91502536_1,1
27912,27912,92090398_0,92090398_1,1
27912,27912,92090404_0,92090404_1,1
27912,27912,92090407_0,92090407_1,1
4879,4879,92090451_0,92090451_1,1
4879,4879,92090452_0,92090452_1,1
4861,4861,92090453_0,92090453_1,1
3905,3905,92090508_0,92090508_1,1
3905,3905,92090512_0,92090512_1,1
3905,3905,92090516_0,92090516_1,1
3905,3905,92090518_0,92090518_1,1
4879,4879,92092718_0,92092718_1,1
4879,4879,92092719_0,92092719_1,1
4861,4861,92092722_0,92092722_1,1
4879,4879,92092724_0,92092724_1,1
4879,4879,92092725_0,92092725_1,1
4861,4861,92092726_0,92092726_1,1
4879,4879,92090537_0,92090537_1,1
4879,4879,92090538_0,92090538_1,1
4879,4879,92090540_0,92090540_1,1
4861,4861,92092734_0,92092734_1,1
4879,4879,92092733_0,92092733_1,1
4861,4861,92092752_0,92092752_1,1
4879,4879,92092750_0,92092750_1,1
4879,4879,92092761_0,92092761_1,1
4861,4861,92092764_0,92092764_1,1
4861,4861,92092767_0,92092767_1,1
4879,4879,92092768_0,92092768_1,1
4861,4861,92092771_0,92092771_1,1
4879,4879,92092780_0,92092780_1,1
4861,4861,92092784_0,92092784_1,1
4861,4861,92092788_0,92092788_1,1
4879,4879,92092790_0,92092790_1,1
4861,4861,92092804_0,92092804_1,1
4861,4861,92092816_0,92092816_1,1
4879,4879,92092807_0,92092807_1,1
4879,4879,92092808_0,92092808_1,1
4879,4879,92092809_0,92092809_1,1
4861,4861,92092817_0,92092817_1,1
4879,4879,92092818_0,92092818_1,1
4861,4861,92092820_0,92092820_1,1
4879,4879,92092896_0,92092896_1,1
4861,4861,92092957_0,92092957_1,1
4879,4879,92092964_0,92092964_1,1
4861,4861,92092967_0,92092967_1,1
5256,5256,91503033_0,91503033_1,1
5256,5256,91503034_0,91503034_1,1
5256,5256,91503035_0,91503035_1,1
5256,5256,91503036_0,91503036_1,1
5256,5256,91503037_0,91503037_1,1
5256,5256,91503038_0,91503038_1,1
5256,5256,91503039_0,91503039_1,1
5256,5256,91503040_0,91503040_1,1
5256,5256,91503041_0,91503041_1,1
