route_id,trip_id,service_id,trip_headsign,trip_short_name
4,92087339,92087339,Warszawa Wschodnia,10130
4,92087340,92087340,Warszawa Wschodnia,10130
4,92087341,92087341,Warszawa Wschodnia,10130
4,92087343,92087343,Warszawa Wschodnia,10132 Mały Powstaniec
4,92087342,92087342,Warszawa Wschodnia,10132 Mały Powstaniec
4,92087344,92087344,Warszawa Wschodnia,10134
4,92087345,92087345,Warszawa Wschodnia,10134
4,92087346,92087346,Warszawa Centralna,10136
4,92087347,92087347,Warszawa Centralna,10136
4,92087349,92087349,Warszawa Główna,10138
4,92087348,92087348,Warszawa Główna,10138
4,92087351,92087351,Warszawa Wschodnia,10140 Pietryna
4,92087350,92087350,Warszawa Wschodnia,10140 Pietryna
4,92087352,92087352,Warszawa Wschodnia,10142
4,92087353,92087353,Warszawa Wschodnia,10142
4,92087354,92087354,Warszawa Wschodnia,10144
4,92087355,92087355,Warszawa Wschodnia,10144
4,92087356,92087356,Warszawa Wschodnia,10144
4,92087505,92087505,Łódź Fabryczna,11050
4,92087504,92087504,Łódź Fabryczna,11050
4,92087506,92087506,Łódź Fabryczna,11124 Mały Powstaniec
4,92087507,92087507,Łódź Fabryczna,11124 Mały Powstaniec
4,92087508,92087508,Łódź Fabryczna,11126
4,92087509,92087509,Łódź Fabryczna,11126
4,92087510,92087510,Łódź Fabryczna,11128
4,92087511,92087511,Łódź Fabryczna,11128
4,92087512,92087512,Łódź Kaliska,11130
4,92087513,92087513,Łódź Kaliska,11130
4,92087515,92087515,Łódź Kaliska,11132 Pietryna
4,92087514,92087514,Łódź Kaliska,11132 Pietryna
4,92087516,92087516,Łódź Kaliska,11134
4,92087517,92087517,Łódź Kaliska,11134
4,92087611,92087611,Poznań Główny,17502 Prosna
4,92087612,92087612,Poznań Główny,17502 Prosna
4,91501818,91501818,Poznań Główny,17502 Prosna
4,92087620,92087620,Poznań Główny,17510 Lutynia
4,92087619,92087619,Poznań Główny,17510 Lutynia
4,92087621,92087621,Poznań Główny,17510 Lutynia
4,91501822,91501822,Poznań Główny,17510 Lutynia
4,92087622,92087622,Ostrów Wielkopolski,17512
4,92087623,92087623,Ostrów Wielkopolski,17512
4,92090121,92090121,Warszawa Wschodnia,71200
4,92090120,92090120,Warszawa Wschodnia,71200
4,92090122,92090122,Warszawa Wschodnia,71502 Lutynia
4,92090123,92090123,Warszawa Wschodnia,71502 Lutynia
4,92090124,92090124,Warszawa Wschodnia,71502 Lutynia
4,91502500,91502500,Warszawa Wschodnia,71502 Lutynia
4,92090125,92090125,Warszawa Wschodnia,71504 Prosna
4,92090126,92090126,Warszawa Wschodnia,71504 Prosna
4,91502501,91502501,Warszawa Wschodnia,71504 Prosna
4,92091066,92091066,Łódź Kaliska,99110
4,92091065,92091065,Łódź Kaliska,99110
4,91502730,91502730,Łódź Kaliska,99110
